local_time,temp_c,data_source,collected_at_utc
2026-09-09T00:00:00,16.0,https://www.weather.gov/wrh/timeseries?site=efhk,2026-09-09T10:00:43.609198Z
2026-09-09T00:20:00,16.0,https://www.weather.gov/wrh/timeseries?site=efhk,2026-09-09T10:00:43.609198Z
2026-09-09T01:00:00,16.0,https://www.weather.gov/wrh/timeseries?site=efhk,2026-09-09T10:00:43.609198Z
2026-09-09T01:20:00,16.0,https://www.weather.gov/wrh/timeseries?site=efhk,2026-09-09T10:00:43.609198Z
2026-09-09T02:00:00,15.0,https://www.weather.gov/wrh/timeseries?site=efhk,2026-09-09T10:00:43.609198Z
2026-09-09T02:20:00,15.0,https://www.weather.gov/wrh/timeseries?site=efhk,2026-09-09T10:00:43.609198Z
2026-09-09T03:00:00,15.0,https://www.weather.gov/wrh/timeseries?site=efhk,2026-09-09T10:00:43.609198Z
2026-09-09T03:20:00,15.0,https://www.weather.gov/wrh/timeseries?site=efhk,2026-09-09T10:00:43.609198Z
2026-09-09T04:00:00,15.0,https://www.weather.gov/wrh/timeseries?site=efhk,2026-09-09T10:00:43.609198Z
2026-09-09T04:20:00,15.0,https://www.weather.gov/wrh/timeseries?site=efhk,2026-09-09T10:00:43.609198Z
2026-09-09T05:00:00,16.0,https://www.weather.gov/wrh/timeseries?site=efhk,2026-09-09T10:00:43.609198Z
2026-09-09T05:20:00,16.0,https://www.weather.gov/wrh/timeseries?site=efhk,2026-09-09T10:00:43.609198Z
2026-09-09T06:00:00,16.0,https://www.weather.gov/wrh/timeseries?site=efhk,2026-09-09T10:00:43.609198Z
2026-09-09T06:20:00,16.0,https://www.weather.gov/wrh/timeseries?site=efhk,2026-09-09T10:00:43.609198Z
2026-09-09T07:00:00,16.0,https://www.weather.gov/wrh/timeseries?site=efhk,2026-09-09T10:00:43.609198Z
2026-09-09T07:20:00,16.0,https://www.weather.gov/wrh/timeseries?site=efhk,2026-09-09T10:00:43.609198Z
2026-09-09T08:00:00,16.0,https://www.weather.gov/wrh/timeseries?site=efhk,2026-09-09T10:00:43.609198Z
2026-09-09T08:20:00,16.0,https://www.weather.gov/wrh/timeseries?site=efhk,2026-09-09T10:00:43.609198Z
2026-09-09T09:00:00,16.0,https://www.weather.gov/wrh/timeseries?site=efhk,2026-09-09T10:00:43.609198Z
2026-09-09T09:20:00,16.0,https://www.weather.gov/wrh/timeseries?site=efhk,2026-09-09T10:00:43.609198Z
2026-09-09T10:00:00,17.0,https://www.weather.gov/wrh/timeseries?site=efhk,2026-09-09T10:00:43.609198Z
2026-09-09T10:20:00,17.0,https://www.weather.gov/wrh/timeseries?site=efhk,2026-09-09T10:00:43.609198Z
2026-09-09T11:00:00,17.0,https://www.weather.gov/wrh/timeseries?site=efhk,2026-09-09T10:00:43.609198Z
2026-09-09T11:20:00,18.0,https://www.weather.gov/wrh/timeseries?site=efhk,2026-09-09T10:00:43.609198Z
2026-09-09T12:00:00,18.0,https://www.weather.gov/wrh/timeseries?site=efhk,2026-09-09T10:00:43.609198Z
2026-09-09T12:20:00,18.0,https://www.weather.gov/wrh/timeseries?site=efhk,2026-09-09T10:00:43.609198Z
2026-09-09T13:00:00,17.0,https://www.weather.gov/wrh/timeseries?site=efhk,2026-09-09T10:00:43.609198Z
