local_time,temp_c,data_source,collected_at_utc
2026-09-07T00:00:00,25.0,https://www.weather.gov/wrh/timeseries?site=mpmg,2026-09-07T23:17:55.962337Z
2026-09-07T01:00:00,25.0,https://www.weather.gov/wrh/timeseries?site=mpmg,2026-09-07T23:17:55.962337Z
2026-09-07T02:00:00,25.0,https://www.weather.gov/wrh/timeseries?site=mpmg,2026-09-07T23:17:55.962337Z
2026-09-07T03:00:00,25.0,https://www.weather.gov/wrh/timeseries?site=mpmg,2026-09-07T23:17:55.962337Z
2026-09-07T04:00:00,25.0,https://www.weather.gov/wrh/timeseries?site=mpmg,2026-09-07T23:17:55.962337Z
2026-09-07T05:00:00,25.0,https://www.weather.gov/wrh/timeseries?site=mpmg,2026-09-07T23:17:55.962337Z
2026-09-07T06:00:00,25.0,https://www.weather.gov/wrh/timeseries?site=mpmg,2026-09-07T23:17:55.962337Z
2026-09-07T07:00:00,25.0,https://www.weather.gov/wrh/timeseries?site=mpmg,2026-09-07T23:17:55.962337Z
2026-09-07T08:00:00,26.0,https://www.weather.gov/wrh/timeseries?site=mpmg,2026-09-07T23:17:55.962337Z
2026-09-07T09:00:00,27.0,https://www.weather.gov/wrh/timeseries?site=mpmg,2026-09-07T23:17:55.962337Z
2026-09-07T10:00:00,28.0,https://www.weather.gov/wrh/timeseries?site=mpmg,2026-09-07T23:17:55.962337Z
2026-09-07T11:00:00,29.0,https://www.weather.gov/wrh/timeseries?site=mpmg,2026-09-07T23:17:55.962337Z
2026-09-07T12:00:00,30.0,https://www.weather.gov/wrh/timeseries?site=mpmg,2026-09-07T23:17:55.962337Z
2026-09-07T13:00:00,30.0,https://www.weather.gov/wrh/timeseries?site=mpmg,2026-09-07T23:17:55.962337Z
2026-09-07T14:00:00,31.0,https://www.weather.gov/wrh/timeseries?site=mpmg,2026-09-07T23:17:55.962337Z
2026-09-07T15:00:00,32.0,https://www.weather.gov/wrh/timeseries?site=mpmg,2026-09-07T23:17:55.962337Z
2026-09-07T15:18:00,31.0,https://www.weather.gov/wrh/timeseries?site=mpmg,2026-09-07T23:17:55.962337Z
2026-09-07T16:00:00,30.0,https://www.weather.gov/wrh/timeseries?site=mpmg,2026-09-07T23:17:55.962337Z
2026-09-07T17:00:00,28.0,https://www.weather.gov/wrh/timeseries?site=mpmg,2026-09-07T23:17:55.962337Z
2026-09-07T18:00:00,28.0,https://www.weather.gov/wrh/timeseries?site=mpmg,2026-09-07T23:17:55.962337Z
