valid_local_time,temp_c,forecast_source,issued_at_utc,lead_hours
2026-09-09T07:00:00,20.56,api.weather.gov,2026-09-09T10:00:52.739647Z,0.98
2026-09-09T08:00:00,21.11,api.weather.gov,2026-09-09T10:00:52.739647Z,1.98
2026-09-09T09:00:00,22.22,api.weather.gov,2026-09-09T10:00:52.739647Z,2.98
2026-09-09T10:00:00,25.0,api.weather.gov,2026-09-09T10:00:52.739647Z,3.98
2026-09-09T11:00:00,27.22,api.weather.gov,2026-09-09T10:00:52.739647Z,4.98
2026-09-09T12:00:00,28.89,api.weather.gov,2026-09-09T10:00:52.739647Z,5.98
2026-09-09T13:00:00,30.0,api.weather.gov,2026-09-09T10:00:52.739647Z,6.98
2026-09-09T14:00:00,31.11,api.weather.gov,2026-09-09T10:00:52.739647Z,7.98
2026-09-09T15:00:00,31.67,api.weather.gov,2026-09-09T10:00:52.739647Z,8.98
2026-09-09T16:00:00,32.22,api.weather.gov,2026-09-09T10:00:52.739647Z,9.98
2026-09-09T17:00:00,32.78,api.weather.gov,2026-09-09T10:00:52.739647Z,10.98
2026-09-09T18:00:00,32.22,api.weather.gov,2026-09-09T10:00:52.739647Z,11.98
2026-09-09T19:00:00,31.11,api.weather.gov,2026-09-09T10:00:52.739647Z,12.98
2026-09-09T20:00:00,28.33,api.weather.gov,2026-09-09T10:00:52.739647Z,13.98
2026-09-09T21:00:00,26.11,api.weather.gov,2026-09-09T10:00:52.739647Z,14.98
2026-09-09T22:00:00,25.56,api.weather.gov,2026-09-09T10:00:52.739647Z,15.98
2026-09-09T23:00:00,25.0,api.weather.gov,2026-09-09T10:00:52.739647Z,16.98
2026-09-10T00:00:00,24.44,api.weather.gov,2026-09-09T10:00:52.739647Z,17.98
2026-09-10T01:00:00,23.89,api.weather.gov,2026-09-09T10:00:52.739647Z,18.98
2026-09-10T02:00:00,23.33,api.weather.gov,2026-09-09T10:00:52.739647Z,19.98
2026-09-10T03:00:00,23.33,api.weather.gov,2026-09-09T10:00:52.739647Z,20.98
2026-09-10T04:00:00,22.78,api.weather.gov,2026-09-09T10:00:52.739647Z,21.98
2026-09-10T05:00:00,22.78,api.weather.gov,2026-09-09T10:00:52.739647Z,22.98
2026-09-10T06:00:00,22.22,api.weather.gov,2026-09-09T10:00:52.739647Z,23.98
2026-09-10T07:00:00,22.22,api.weather.gov,2026-09-09T10:00:52.739647Z,24.98
2026-09-10T08:00:00,22.22,api.weather.gov,2026-09-09T10:00:52.739647Z,25.98
2026-09-10T09:00:00,23.89,api.weather.gov,2026-09-09T10:00:52.739647Z,26.98
2026-09-10T10:00:00,26.11,api.weather.gov,2026-09-09T10:00:52.739647Z,27.98
2026-09-10T11:00:00,27.78,api.weather.gov,2026-09-09T10:00:52.739647Z,28.98
2026-09-10T12:00:00,29.44,api.weather.gov,2026-09-09T10:00:52.739647Z,29.98
2026-09-10T13:00:00,31.67,api.weather.gov,2026-09-09T10:00:52.739647Z,30.98
2026-09-10T14:00:00,32.22,api.weather.gov,2026-09-09T10:00:52.739647Z,31.98
2026-09-10T15:00:00,32.78,api.weather.gov,2026-09-09T10:00:52.739647Z,32.98
2026-09-10T16:00:00,33.33,api.weather.gov,2026-09-09T10:00:52.739647Z,33.98
2026-09-10T17:00:00,32.78,api.weather.gov,2026-09-09T10:00:52.739647Z,34.98
2026-09-10T18:00:00,32.22,api.weather.gov,2026-09-09T10:00:52.739647Z,35.98
2026-09-10T19:00:00,31.11,api.weather.gov,2026-09-09T10:00:52.739647Z,36.98
2026-09-10T20:00:00,28.33,api.weather.gov,2026-09-09T10:00:52.739647Z,37.98
2026-09-10T21:00:00,27.22,api.weather.gov,2026-09-09T10:00:52.739647Z,38.98
2026-09-10T22:00:00,26.67,api.weather.gov,2026-09-09T10:00:52.739647Z,39.98
2026-09-10T23:00:00,26.11,api.weather.gov,2026-09-09T10:00:52.739647Z,40.98
2026-09-11T00:00:00,25.56,api.weather.gov,2026-09-09T10:00:52.739647Z,41.98
2026-09-11T01:00:00,25.0,api.weather.gov,2026-09-09T10:00:52.739647Z,42.98
2026-09-11T02:00:00,24.44,api.weather.gov,2026-09-09T10:00:52.739647Z,43.98
2026-09-11T03:00:00,23.89,api.weather.gov,2026-09-09T10:00:52.739647Z,44.98
2026-09-11T04:00:00,23.89,api.weather.gov,2026-09-09T10:00:52.739647Z,45.98
2026-09-11T05:00:00,23.33,api.weather.gov,2026-09-09T10:00:52.739647Z,46.98
2026-09-11T06:00:00,23.33,api.weather.gov,2026-09-09T10:00:52.739647Z,47.98
2026-09-11T07:00:00,22.78,api.weather.gov,2026-09-09T10:00:52.739647Z,48.98
2026-09-11T08:00:00,23.33,api.weather.gov,2026-09-09T10:00:52.739647Z,49.98
2026-09-11T09:00:00,25.0,api.weather.gov,2026-09-09T10:00:52.739647Z,50.98
2026-09-11T10:00:00,27.22,api.weather.gov,2026-09-09T10:00:52.739647Z,51.98
2026-09-11T11:00:00,29.44,api.weather.gov,2026-09-09T10:00:52.739647Z,52.98
2026-09-11T12:00:00,31.11,api.weather.gov,2026-09-09T10:00:52.739647Z,53.98
2026-09-11T13:00:00,32.22,api.weather.gov,2026-09-09T10:00:52.739647Z,54.98
2026-09-11T14:00:00,33.33,api.weather.gov,2026-09-09T10:00:52.739647Z,55.98
2026-09-11T15:00:00,33.33,api.weather.gov,2026-09-09T10:00:52.739647Z,56.98
2026-09-11T16:00:00,32.78,api.weather.gov,2026-09-09T10:00:52.739647Z,57.98
2026-09-11T17:00:00,31.67,api.weather.gov,2026-09-09T10:00:52.739647Z,58.98
2026-09-11T18:00:00,30.56,api.weather.gov,2026-09-09T10:00:52.739647Z,59.98
2026-09-11T19:00:00,28.89,api.weather.gov,2026-09-09T10:00:52.739647Z,60.98
2026-09-11T20:00:00,27.22,api.weather.gov,2026-09-09T10:00:52.739647Z,61.98
2026-09-11T21:00:00,26.11,api.weather.gov,2026-09-09T10:00:52.739647Z,62.98
2026-09-11T22:00:00,25.56,api.weather.gov,2026-09-09T10:00:52.739647Z,63.98
2026-09-11T23:00:00,25.0,api.weather.gov,2026-09-09T10:00:52.739647Z,64.98
2026-09-12T00:00:00,24.44,api.weather.gov,2026-09-09T10:00:52.739647Z,65.98
2026-09-12T01:00:00,24.44,api.weather.gov,2026-09-09T10:00:52.739647Z,66.98
2026-09-12T02:00:00,23.89,api.weather.gov,2026-09-09T10:00:52.739647Z,67.98
2026-09-12T03:00:00,23.89,api.weather.gov,2026-09-09T10:00:52.739647Z,68.98
2026-09-12T04:00:00,23.33,api.weather.gov,2026-09-09T10:00:52.739647Z,69.98
2026-09-12T05:00:00,23.33,api.weather.gov,2026-09-09T10:00:52.739647Z,70.98
2026-09-12T06:00:00,22.78,api.weather.gov,2026-09-09T10:00:52.739647Z,71.98
