valid_local_time,temp_c,forecast_source,issued_at_utc,lead_hours
2026-09-08T19:00:00,24.44,api.weather.gov,2026-09-09T00:27:28.506465Z,0.53
2026-09-08T20:00:00,23.33,api.weather.gov,2026-09-09T00:27:28.506465Z,1.53
2026-09-08T21:00:00,22.22,api.weather.gov,2026-09-09T00:27:28.506465Z,2.53
2026-09-08T22:00:00,21.11,api.weather.gov,2026-09-09T00:27:28.506465Z,3.53
2026-09-08T23:00:00,20.0,api.weather.gov,2026-09-09T00:27:28.506465Z,4.53
2026-09-09T00:00:00,19.44,api.weather.gov,2026-09-09T00:27:28.506465Z,5.53
2026-09-09T01:00:00,19.44,api.weather.gov,2026-09-09T00:27:28.506465Z,6.53
2026-09-09T02:00:00,18.33,api.weather.gov,2026-09-09T00:27:28.506465Z,7.53
2026-09-09T03:00:00,17.78,api.weather.gov,2026-09-09T00:27:28.506465Z,8.53
2026-09-09T04:00:00,16.67,api.weather.gov,2026-09-09T00:27:28.506465Z,9.53
2026-09-09T05:00:00,15.56,api.weather.gov,2026-09-09T00:27:28.506465Z,10.53
2026-09-09T06:00:00,15.0,api.weather.gov,2026-09-09T00:27:28.506465Z,11.53
2026-09-09T07:00:00,15.0,api.weather.gov,2026-09-09T00:27:28.506465Z,12.53
2026-09-09T08:00:00,16.11,api.weather.gov,2026-09-09T00:27:28.506465Z,13.53
2026-09-09T09:00:00,16.67,api.weather.gov,2026-09-09T00:27:28.506465Z,14.53
2026-09-09T10:00:00,18.89,api.weather.gov,2026-09-09T00:27:28.506465Z,15.53
2026-09-09T11:00:00,20.56,api.weather.gov,2026-09-09T00:27:28.506465Z,16.53
2026-09-09T12:00:00,21.67,api.weather.gov,2026-09-09T00:27:28.506465Z,17.53
2026-09-09T13:00:00,24.44,api.weather.gov,2026-09-09T00:27:28.506465Z,18.53
2026-09-09T14:00:00,26.11,api.weather.gov,2026-09-09T00:27:28.506465Z,19.53
2026-09-09T15:00:00,25.56,api.weather.gov,2026-09-09T00:27:28.506465Z,20.53
2026-09-09T16:00:00,26.11,api.weather.gov,2026-09-09T00:27:28.506465Z,21.53
2026-09-09T17:00:00,26.67,api.weather.gov,2026-09-09T00:27:28.506465Z,22.53
2026-09-09T18:00:00,27.22,api.weather.gov,2026-09-09T00:27:28.506465Z,23.53
2026-09-09T19:00:00,25.0,api.weather.gov,2026-09-09T00:27:28.506465Z,24.53
2026-09-09T20:00:00,23.89,api.weather.gov,2026-09-09T00:27:28.506465Z,25.53
2026-09-09T21:00:00,21.11,api.weather.gov,2026-09-09T00:27:28.506465Z,26.53
2026-09-09T22:00:00,20.0,api.weather.gov,2026-09-09T00:27:28.506465Z,27.53
2026-09-09T23:00:00,18.89,api.weather.gov,2026-09-09T00:27:28.506465Z,28.53
2026-09-10T00:00:00,18.33,api.weather.gov,2026-09-09T00:27:28.506465Z,29.53
2026-09-10T01:00:00,18.33,api.weather.gov,2026-09-09T00:27:28.506465Z,30.53
2026-09-10T02:00:00,17.78,api.weather.gov,2026-09-09T00:27:28.506465Z,31.53
2026-09-10T03:00:00,16.11,api.weather.gov,2026-09-09T00:27:28.506465Z,32.53
2026-09-10T04:00:00,15.56,api.weather.gov,2026-09-09T00:27:28.506465Z,33.53
2026-09-10T05:00:00,15.0,api.weather.gov,2026-09-09T00:27:28.506465Z,34.53
2026-09-10T06:00:00,13.89,api.weather.gov,2026-09-09T00:27:28.506465Z,35.53
2026-09-10T07:00:00,14.44,api.weather.gov,2026-09-09T00:27:28.506465Z,36.53
2026-09-10T08:00:00,16.11,api.weather.gov,2026-09-09T00:27:28.506465Z,37.53
2026-09-10T09:00:00,18.33,api.weather.gov,2026-09-09T00:27:28.506465Z,38.53
2026-09-10T10:00:00,21.11,api.weather.gov,2026-09-09T00:27:28.506465Z,39.53
